ingredients,brand,name,price,quantity,unit
"1165782 M - INGREDIENTS: AQUA / WATER / EAU,SODIUM LAURETH SULFATE,TEA-LAURYL SULFATE,COCAMIDE MIPA,DISODIUM COCOAMPHODIACETATE,GLYCOL DISTEARATE,HEXYLENE GLYCOL,SODIUM CHLORIDE,CITRIC ACID,SODIUM BENZOATE,SODIUM HYDROXIDE,CAPRYLOYL GLYCINE,POLYQUATERNIUM-11,SALICYLIC ACID,CARBOMER,PYRIDOXINE HCL,MENTHOXYPROPANEDIOL,GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,HEXYL CINNAMAL,LINALOOL,HYDROXYCITRONELLAL,CITRONELLOL,BENZYL ALCOHOL,FUMARIC ACID,PARFUM / FRAGRANCE (F",kérastase,Spécifique,"12,40",100,ml
"CHRISTOPHE ROBIN, MASQUE RÉGÉNÉRANT 40MLAQUA , CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, CETYL ALCOHOL, BEHENTRIMONIUM CHLORIDE, GLYCERIN, CETRIMONIUM CHLORIDE, INULA CRITHMOIDE LEAF/FLOWER EXTRACT, OPUNTIA FICUS INDICA SEED OIL, BEHENYL/STEARYL AMINOPROPANEDIOL ESTERS, OPUNTIA FICUS INDICA FRUIT EXTRACT, LINOLEIC ACID, LINOLENIC ACID, TOCOPHERYL ACETATE, CITRIC ACID, PARFUM , DISODIUM EDTA, SODIUM BENZOATE, POTASSIUM SORBATE, HYDROXYCITRONELLAL, COUMARIN, LIMONENE, CARAMEL, TOCOPHEROL, LINALOOL, GERANIOLDEVACURL, FLEXFACTOR CURL PROTECTION & RETENTION PRIMER 88MLAQUA/WATER/EAU, BUTYLENE GLYCOL, CETEARYL ALCOHOL, GLYCERIN, ETHYLHEXYL OLIVATE, POLYSORBATE 20, BEHENTRIMONIUM CHLORIDE, CAMELLIA SINENSIS LEAF EXTRACT, CETRIMONIUM CHLORIDE, CINNAMIDOPROPYLTRIMONIUM CHLORIDE, DISODIUM EDTA, ETHYLHEXYLGLYCERIN, GLUCOSAMINE HCL, GLYCERYL STEARATE, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, ISOPROPYL ALCOHOL, LACTIC ACID, LACTOBACILLUS FERMENT, PANTHENOL, SODIUM CHLORIDE, SODIUM HYDROXIDE, SQUALANE, TOCOPHEROL, PHENOXYETHANOL, PARFUM/FRAGRANCE, LINALOOL",sephora favorites,Sephora Favorites,"12,35",100,ml
"AQUA/WATER/EAU, SODIUM LAUROYL SARCOSINATE, DISODIUM LAURETH SULFOSUCCINATE, COCAMIDOPROPYL HYDROXYSULTAINE, COCAMIDE MEA, SODIUM LAURYL SULFOACETATE, GLYCOL DISTEARATE, DIMETHICONE, ARGANIA SPINOSA  KERNEL OIL, PERSEA GRATISSIMA  OIL, CHAMOMILLA RECUTITA  FLOWER EXTRACT, LAVANDULA ANGUSTIFOLIA  FLOWER EXTRACT, ROSMARINUS OFFICINALIS  LEAF EXTRACT, SIMMONDSIA CHINENSIS  SEED EXTRACT, HYDROLYZED VEGETABLE PROTEIN PG-PROPYL SILANETRIOL, PARFUM/FRAGRANCE, SILK AMINO ACIDS, HYDROLYZED KERATIN, KERATIN AMINO ACIDS, CITRIC ACID, C12-13 PARETH-23, C12-13 PARETH-3, TRIDECETH-12, DIVINYLDIMETHICONE/DIMETHICONE COPOLYMER, POLYQUATERNIUM-7, POLYQUATERNIUM-10, QUATERNIUM-80, PEG-150 PENTAERYTHRITYL TETRASTEARATE, AMODIMETHICONE, DIMETHICONOL, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, PANTHENOL, CYCLOPENTASILOXANE, SODIUM LAUROYL LACTYLATE, SODIUM PCA, SODIUM ACETATE, PROPYLENE GLYCOL, CAPRYLYL GLYCOL, CINNAMIDOPROPYLTRIMONIUM CHLORIDE, ISOPROPYL ALCOHOL, TETRASODIUM EDTA, DISODIUM EDTA, CETRIMONIUM CHLORIDE, CHLORPHENESIN, PHENOXYETHANOL, SODIUM BENZOATE, POTASSIUM SORBATE, CI 19140 , CI 17200 , ALPHA-ISOMETHYL IONONE, LINALOOL",moroccanoil,Shampooing Réparateur Hydratant,"11,20",100,ml
"AQUA / WATER, SODIUM COCOYL ISETHIONATE, SODIUM LAURYL SULFOACETATE, DISODIUM LAURETH SULFOSUCCINATE, SODIUM LAUROYL SARCOSINATE, GLYCOL DISTEARATE, COCAMIDOPROPYL BETAINE, GLYCERETH-26, DECYL GLUCOSIDE, HYDROGENATED COCONUT ACID, COCO-BETAINE, PPG-5-CETETH-20, SODIUM BENZOATE, DIVINYLDIMETHICONE/DIMETHICONE COPOLYMER, SODIUM CHLORIDE, POLYQUATERNIUM-7, AMODIMETHICONE, POLYQUATERNIUM-10, SODIUM ISETHIONATE, SALICYLIC ACID, PEG-55 PROPYLENE GLYCOL OLEATE, PROPYLENE GLYCOL, CARBOMER, C11-15 PARETH-7, BENZOIC ACID, ARGININE, GLUTAMIC ACID, BENZYL SALICYLATE, LAURETH-9, BENZYL ALCOHOL, GLYCERIN, SERINE, HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN, TRIDECETH-12, C12-13 PARETH-23, 2-OLEAMIDO-1,3-OCTADECANEDIOL, LINALOOL, ALPHA-ISOMETHYL IONONE, C12-13 PARETH-3, SODIUM HYDROXIDE, CITRIC ACID, PARFUM / FRAGRANCE",kérastase,Discipline Bain Fluidéaliste Gentle,"11,20",100,ml
"AQUA / WATER / EAU , SODIUM LAURETH SULFATE , SODIUM CHLORIDE , COCAMIDOPROPYL BETAINE , DIMETHICONE , CITRIC ACID , HEXYLENE GLYCOL , SODIUM BENZOATE , SODIUM HYDROXIDE , AMODIMETHICONE , CARBOMER , GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE , TRIDECETH-10 , GLYCERIN , SALICYLIC ACID , LIMONENE , GLYCOL DISTEARATE , MICA , PEG-100 STEARATE , LINALOOL , STEARETH-6 , PHENOXYETHANOL , COCO-BETAINE , TRIDECETH-3 , CI 77891 / TITANIUM DIOXIDE , BENZYL SALICYLATE , COUMARIN , ZINGIBER OFFICINALE ROOT EXTRACT / GINGER ROOT EXTRACT , CITRAL , BENZYL ALCOHOL , CITRONELLOL , ACETIC ACID , FUMARIC ACID , XYLITYLGLUCOSIDE , ANHYDROXYLITOL , LEONTOPODIUM ALPINUM CALLUS CULTURE EXTRACT , XYLITOL , XANTHAN GUM , DIPEPTIDE DIAMINOBUTYROYL BENZYLAMIDE DIACETATE , PARFUM / FRAGRANCECette liste d'ingrédients peut faire l'objet de modifications, veuillez consulter l'emballage du produit acheté",kérastase,Genesis Bain Nutri-Fortifiant,"12,40",100,ml
"AQUA/WATER, COCAMIDOPROPYL BETAINE, SODIUM METHYL COCOYL TAURATE, SODIUM COCOYL ISETHIONATE, SODIUM CHLORIDE, LAURYL GLUCOSIDE, GLYCOL DISTEARATE, PARFUM/FRAGRANCE, GLYCERIN, SODIUM BENZOATE, CAMELLIA JAPONICA SEED OIL, CITRIC ACID, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, CELLULOSE, CELLULOSE GUM, CARAMEL, BENZOIC ACID, CANDIDA BOMBICOLA/GLUCOSE/METHYL RAPESEEDATE FERMENT, LINALOOL, CITRONELLOL, LIMONENE, GERANIOL ",nuxe,Hair Prodigieux®,"8,00",100,ml
1123421 A - INGREDIENTS: AQUA / WATER / EAU • SODIUM LAURETH SULFATE • DISODIUM COCOAMPHODIACETATE • GLYCOL DISTEARATE • SODIUM LAURETH-8 SULFATE • HEXYLENE GLYCOL • SODIUM CHLORIDE • CITRIC ACID • SODIUM BENZOATE • SODIUM HYDROXIDE • MAGNESIUM LAURETH-8 SULFATE • MAGNESIUM LAURETH SULFATE • SODIUM OLETH SULFATE • HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE • ALCOHOL DENAT,kérastase,Resistance Bain Force Architecte,"11,60",100,ml
"AQUA , DISODIUM LAURETH SULFOSUCCINATE , SODIUM LAURYL SULFOACETATE , SODIUM COCOAMPHOACETATE , GLYCERIN , POLYGLYERYL-6 STEARATE , LAURYL GLUCOSIDE , HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE , PARFUM/FRAGRANCE , POLYGLYCERYL-10 LAURATE , CETYL ALCOHOL , LACTIC ACID , LINALOOL , SODIUM BENZOATE , CAPRYLYL/CAPRYL GLUCOSIDE , HYDROGENATED VEGETABLE GLYCERIDES , SODIUM LEVULINATE , STARCH HYDROXYPROPYLTRIMONIUM CHLORIDE , COCODIMONIUM HYDROXYPROPYL HYDROLYZED , AMYL CINNAMAL , WHEAT PROTEIN , *SODIUM COCOYL GLUTAMATE , SODIUM LAURYL GLUCOSE CARBOXYLATE , MYRISTAMINE OXIDE , HEXYL CINNAMALDEHYDE , GERANIOL , GUAR HYDROXYPROPYLTRIMONIUM CHLORID , STEARAMINE OXIDE , HYDROLYZED SWEET ALMOND PROTEIN , LIMONENE , POLYGLYCERYL-6 BEHENATE , ALLIUM SATIVUM  BULB EXTRACT , COCHLEARIA ARMORACIA  ROOT EXTRACT , MAURITIA FLEXUOSA FRUIT OIL , BAMBUSA VULGARIS SHOOT EXTRACT , CITRIC ACID , SODIUM LACTATE , SODIUM CHLORIDE , LEVULINIC ACID , P-ANISIC ACID , POTASSIUM SORBATE NATURAL ORIGIN CERTIFIED ORGANICCette liste d'ingrédients peut faire l'objet de modifications, veuillez consulter l'emballage du produit acheté",leonor greyl,Shampooing Crème Moelle de Bambou,"19,95",100,ml
"INGREDIENTS: WATER , SODIUM C14-16 OLEFIN SULFONATE, COCAMIDOPROPYL BETAINE, GLYCERIN, SODIUM COCOAMPHOACETATE, SODIUM CHLORIDE, ACRYLATES COPOLYMER, BETAINE, PHENOXYETHANOL, FRAGRANCE , POLYQUATERNIUM-7, ACID VIOLET 43, BISAMINOPROPYL DIGLYCOL DIMALEATE, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, COCO-CAPRYLATE/CAPRATE, ETHYLHEXYLGLYCERIN, LIMONENE, CITRIC ACIDCette liste d'ingrédients peut faire l'objet de modifications, veuillez consulter l'emballage du produit acheté",olaplex,N°4P Blonde Enhancing Toning,"11,96",100,ml
"AQUA / WATER / EAU , SODIUM C14-16 OLEFIN SULFONATE , COCAMIDE MEA , GLYCERIN , COCAMIDOPROPYL BETAINE , GLYCOL DISTEARATE , SODIUM LAUROYL SARCOSINATE , HEXYLENE GLYCOL , CITRIC ACID , SODIUM HYDROXIDE , SODIUM CHLORIDE , PEG-55 PROPYLENE GLYCOL OLEATE , PROPYLENE GLYCOL , COCO-BETAINE , SODIUM BENZOATE , HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE , SALICYLIC ACID , CARBOMER , BENZOIC ACID , POLYQUATERNIUM-7 , LINALOOL , LIMONENE , SODIUM HYALURONATE , ARGININE , CENTELLA ASIATICA EXTRACT , LACTIC ACID , CI 17200 / RED 33 , CI 19140 / YELLOW 5 , PARFUM / FRAGRANCE",kérastase,Chroma Absolu,"11,96",100,ml
